Subject,Class,Expert,Load_Rate
A01,Left Hand,E1,0.47864583
A01,Left Hand,E2,0.5049479
A01,Left Hand,E3,0.50677085
A01,Left Hand,E4,0.5096354
A01,Right Hand,E1,0.5118583
A01,Right Hand,E2,0.5126953
A01,Right Hand,E3,0.4765625
A01,Right Hand,E4,0.49888393
A03,Left Hand,E1,0.538151
A03,Left Hand,E2,0.43151042
A03,Left Hand,E3,0.5078125
A03,Left Hand,E4,0.522526
A03,Right Hand,E1,0.45689175
A03,Right Hand,E2,0.5482701
A03,Right Hand,E3,0.5090681
A03,Right Hand,E4,0.48577008
A04,Left Hand,E1,0.5061198
A04,Left Hand,E2,0.50208336
A04,Left Hand,E3,0.4986979
A04,Left Hand,E4,0.49309894
A04,Right Hand,E1,0.50558037
A04,Right Hand,E2,0.500279
A04,Right Hand,E3,0.5011161
A04,Right Hand,E4,0.49302456
