,subject,acc,kappa,f1
0,A01,86.20689655172413,0.7238095238095238,0.861904761904762
1,A02,68.96551724137932,0.38588235294117645,0.6836363636363636
2,A03,96.55172413793103,0.9311163895486936,0.9655172413793104
3,A04,75.86206896551724,0.513189448441247,0.7539393939393939
4,A05,79.3103448275862,0.583732057416268,0.7908653846153846
5,A06,75.86206896551724,0.5223529411764706,0.7539393939393939
6,A07,75.86206896551724,0.5108433734939759,0.7478260869565218
7,A08,89.65517241379311,0.7933491686460807,0.896551724137931
8,A09,79.3103448275862,0.5857142857142856,0.7928571428571429
AVERAGE,AVERAGE,80.84291187739463,0.6166655045764134,0.8052263881518004
