,subject,acc,kappa,f1
0,A01,93.10344827586206,0.861904761904762,0.930952380952381
1,A02,62.06896551724138,0.2458628841607564,0.6188769414575865
2,A03,93.10344827586206,0.8625592417061612,0.930952380952381
3,A04,75.86206896551724,0.520094562647754,0.7574671445639187
4,A05,62.06896551724138,0.2313253012048192,0.6037267080745341
5,A06,72.41379310344827,0.45539906103286387,0.7156862745098038
6,A07,68.96551724137932,0.3800475059382423,0.6896551724137931
7,A08,79.3103448275862,0.583732057416268,0.7908653846153846
8,A09,82.75862068965517,0.6539379474940334,0.8267622461170848
AVERAGE,AVERAGE,76.62835249042145,0.532762591500629,0.7627716259618742
