subject,acc,kappa,f1
A01,86.20689655172413,0.7251184834123223,0.861904761904762
A02,72.41379310344827,0.4476190476190476,0.7238095238095238
A03,96.55172413793103,0.9311163895486936,0.9655172413793104
A04,96.55172413793103,0.9307875894988067,0.9653524492234169
A05,86.20689655172413,0.7211538461538461,0.857843137254902
A06,75.86206896551724,0.520094562647754,0.7574671445639187
A07,79.3103448275862,0.5876777251184835,0.7928571428571429
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,86.20689655172413,0.7211538461538461,0.857843137254902
AVERAGE,86.20689655172413,0.7239819866334992,0.8609013088474655
