Subject,N_Experts,Top_K,Run,Best_Acc
A01,4,1,1,93.10344827586206
A01,4,1,2,93.10344827586206
A01,4,1,3,96.55172413793103
A01,4,1,4,86.20689655172413
A01,4,1,5,89.65517241379311
A01,4,1,6,93.10344827586206
A01,4,1,7,86.20689655172413
A01,4,1,8,93.10344827586206
A01,4,1,9,86.20689655172413
A01,4,1,10,93.10344827586206
A03,4,1,1,96.55172413793103
A03,4,1,2,100.0
A03,4,1,3,96.55172413793103
A03,4,1,4,100.0
A03,4,1,5,100.0
A03,4,1,6,100.0
A03,4,1,7,96.55172413793103
A03,4,1,8,100.0
A03,4,1,9,100.0
A03,4,1,10,96.55172413793103
A04,4,1,1,89.65517241379311
A04,4,1,2,86.20689655172413
A04,4,1,3,79.3103448275862
A04,4,1,4,86.20689655172413
A04,4,1,5,79.3103448275862
A04,4,1,6,82.75862068965517
A04,4,1,7,82.75862068965517
A04,4,1,8,79.3103448275862
A04,4,1,9,82.75862068965517
A04,4,1,10,79.3103448275862
A01,4,2,1,93.10344827586206
A01,4,2,2,93.10344827586206
A01,4,2,3,100.0
A01,4,2,4,89.65517241379311
A01,4,2,5,93.10344827586206
A01,4,2,6,89.65517241379311
A01,4,2,7,89.65517241379311
A01,4,2,8,93.10344827586206
A01,4,2,9,89.65517241379311
A01,4,2,10,93.10344827586206
A03,4,2,1,96.55172413793103
A03,4,2,2,100.0
A03,4,2,3,96.55172413793103
A03,4,2,4,100.0
A03,4,2,5,100.0
A03,4,2,6,100.0
A03,4,2,7,100.0
A03,4,2,8,100.0
A03,4,2,9,96.55172413793103
A03,4,2,10,100.0
A04,4,2,1,89.65517241379311
A04,4,2,2,86.20689655172413
A04,4,2,3,79.3103448275862
A04,4,2,4,86.20689655172413
A04,4,2,5,79.3103448275862
A04,4,2,6,79.3103448275862
A04,4,2,7,82.75862068965517
A04,4,2,8,86.20689655172413
A04,4,2,9,82.75862068965517
A04,4,2,10,82.75862068965517
A01,4,4,1,93.10344827586206
A01,4,4,2,89.65517241379311
A01,4,4,3,93.10344827586206
A01,4,4,4,89.65517241379311
A01,4,4,5,93.10344827586206
A01,4,4,6,93.10344827586206
A01,4,4,7,89.65517241379311
A01,4,4,8,93.10344827586206
A01,4,4,9,86.20689655172413
A01,4,4,10,93.10344827586206
A03,4,4,1,100.0
A03,4,4,2,100.0
A03,4,4,3,96.55172413793103
A03,4,4,4,100.0
A03,4,4,5,100.0
A03,4,4,6,100.0
A03,4,4,7,100.0
A03,4,4,8,100.0
A03,4,4,9,100.0
A03,4,4,10,100.0
A04,4,4,1,89.65517241379311
A04,4,4,2,89.65517241379311
A04,4,4,3,75.86206896551724
A04,4,4,4,86.20689655172413
A04,4,4,5,75.86206896551724
A04,4,4,6,79.3103448275862
A04,4,4,7,79.3103448275862
A04,4,4,8,86.20689655172413
A04,4,4,9,82.75862068965517
A04,4,4,10,82.75862068965517
A01,8,1,1,89.65517241379311
A01,8,1,2,89.65517241379311
A01,8,1,3,93.10344827586206
A01,8,1,4,89.65517241379311
A01,8,1,5,93.10344827586206
A01,8,1,6,82.75862068965517
A01,8,1,7,89.65517241379311
