Subject,Acc_Max(%),Acc_Mean¡ÀStd(%),Kappa_Mean¡ÀStd,F1_Mean¡ÀStd
A01,93.10344828,86.03¡À4.69,0.7221¡À0.0924,0.8592¡À0.0485
A02,82.75862069,69.83¡À6.80,0.3905¡À0.1420,0.6754¡À0.0946
A03,100,95.17¡À4.93,0.9040¡À0.0975,0.9513¡À0.0503
A04,89.65517241,78.62¡À8.20,0.5666¡À0.1697,0.7709¡À0.1033
A05,72.4137931,59.66¡À5.57,0.1785¡À0.1176,0.5252¡À0.1045
A06,86.20689655,77.41¡À5.17,0.5459¡À0.1048,0.7680¡À0.0580
A07,93.10344828,74.48¡À9.96,0.4830¡À0.1998,0.7164¡À0.1226
A08,100,92.07¡À9.57,0.8405¡À0.1914,0.9170¡À0.1018
A09,93.10344828,89.14¡À2.50,0.7808¡À0.0509,0.8889¡À0.0264
AVERAGE,90.03831418,80.27,0.6013,0.7858
