Subject,Acc_Max(%),Acc_Mean¡ÀStd(%),Kappa_Mean¡ÀStd,F1_Mean¡ÀStd
A01,93.10344828,88.62¡À2.69,0.7737¡À0.0536,0.8856¡À0.0272
A02,82.75862069,71.38¡À7.56,0.4298¡À0.1501,0.7098¡À0.0776
A03,96.55172414,95.86¡À1.38,0.9174¡À0.0274,0.9586¡À0.0138
A04,86.20689655,75.52¡À6.35,0.5083¡À0.1275,0.7516¡À0.0651
A05,68.96551724,60.17¡À5.61,0.2027¡À0.1097,0.5890¡À0.0633
A06,93.10344828,73.79¡À7.74,0.4761¡À0.1534,0.7345¡À0.0772
A07,89.65517241,73.28¡À8.92,0.4648¡À0.1794,0.7169¡À0.1217
A08,100,97.93¡À2.01,0.9586¡À0.0403,0.9793¡À0.0201
A09,96.55172414,93.62¡À1.23,0.8717¡À0.0248,0.9356¡À0.0125
AVERAGE,89.65517241,81.13,0.6226,0.8068
