Subject,Proposed_Acc(%),EEGNet_Acc(%),P-val (EEGNet),DeepConvNet_Acc(%),P-val (DeepConvNet)
A01,89.48 ± 3.85,88.62 ± 2.69,0.4251 ,86.03 ± 4.69,0.0210 *
A02,67.93 ± 4.24,71.38 ± 7.56,0.0887 ,69.83 ± 6.80,0.3339 
A03,98.28 ± 1.72,95.86 ± 1.38,0.0004 **,95.17 ± 4.93,0.0071 **
A04,82.07 ± 4.17,75.52 ± 6.35,0.0005 **,78.62 ± 8.20,0.1159 
A05,82.24 ± 3.50,60.17 ± 5.61,0.0000 **,59.66 ± 5.57,0.0000 **
A06,70.34 ± 3.52,73.79 ± 7.74,0.1256 ,77.41 ± 5.17,0.0000 **
A07,84.66 ± 2.31,73.28 ± 8.92,0.0001 **,74.48 ± 9.96,0.0006 **
A08,96.38 ± 0.75,97.93 ± 2.01,0.0035 **,92.07 ± 9.57,0.0658 
A09,83.79 ± 3.10,93.62 ± 1.23,0.0000 **,89.14 ± 2.50,0.0001 **
AVERAGE,83.91 ± 10.18,81.13 ± 13.65,0.0010 **,80.27 ± 12.76,0.0000 **
